step,node_count,diameter,avg_diameter,degree,cost,traffic
1,8,2,1.2857142857142858,7,20,0.3673469387755102
2,16,3,2.066666666666667,8,41,0.5166666666666667
3,24,4,2.536231884057971,9,62,0.5636070853462158
4,32,4,2.6774193548387095,9,84,0.5949820788530465
5,40,5,2.9794871794871796,10,105,0.5958974358974359
6,48,5,3.099290780141844,10,127,0.6198581560283688
7,56,6,3.3532467532467534,10,148,0.6706493506493507
8,64,6,3.4126984126984126,11,170,0.6204906204906204
9,72,6,3.507042253521127,11,192,0.6376440460947503
10,80,7,3.713924050632911,11,213,0.675258918296893
11,88,7,3.785788923719958,11,235,0.6883252588581742
12,96,7,3.8771929824561404,11,257,0.7049441786283892
13,104,8,4.060492905153099,11,278,0.7382714373005634
