step,node_count,diameter,avg_diameter,degree,cost,traffic
1,8,2,1.2857142857142858,7,20,0.3673469387755102
2,16,3,2.066666666666667,8,41,0.5166666666666667
3,24,4,2.536231884057971,9,62,0.5636070853462158
4,32,5,2.935483870967742,9,83,0.6523297491039427
5,40,6,3.3076923076923075,9,104,0.735042735042735
6,48,7,3.6666666666666665,9,125,0.8148148148148148
7,56,8,4.0181818181818185,9,146,0.892929292929293
8,64,9,4.365079365079365,9,167,0.9700176366843033
9,72,10,4.708920187793427,9,188,1.0464267083985392
10,80,11,5.050632911392405,9,209,1.1223628691983123
11,88,12,5.390804597701149,9,230,1.197956577266922
12,96,13,5.729824561403508,9,251,1.2732943469785574
13,104,14,6.067961165048544,9,272,1.348435814455232
