step,node_count,diameter,avg_diameter,degree,cost,traffic
1,8,2,1.2857142857142858,7,20,0.3673469387755102
2,16,3,2.066666666666667,8,41,0.5166666666666667
3,24,3,2.3043478260869565,9,63,0.5120772946859904
4,32,4,2.6774193548387095,9,84,0.5949820788530465
5,40,4,2.8974358974358974,9,105,0.6438746438746439
6,48,5,3.2127659574468086,9,126,0.7139479905437353
7,56,5,3.4363636363636365,9,147,0.7636363636363637
8,64,6,3.7301587301587302,9,168,0.8289241622574957
9,72,6,3.9577464788732395,9,189,0.8794992175273866
10,80,7,4.2405063291139244,9,210,0.9423347398030943
11,88,7,4.471264367816092,9,231,0.9936143039591315
12,96,8,4.747368421052632,9,252,1.0549707602339182
13,104,8,4.980582524271845,9,273,1.1067961165048543
